1.6930e+05 4.5647e-06
1.7035e+05 4.5013e-06
1.7141e+05 4.4391e-06
1.7247e+05 4.3783e-06
1.7354e+05 4.3188e-06
1.7460e+05 4.2606e-06
1.7566e+05 4.2035e-06
1.7673e+05 4.1476e-06
1.7780e+05 4.0929e-06
1.7886e+05 4.0393e-06
1.7993e+05 3.9868e-06
1.8101e+05 3.9353e-06
1.8208e+05 3.8849e-06
1.8315e+05 3.8355e-06
1.8423e+05 3.7870e-06
1.8530e+05 3.7395e-06
1.8638e+05 3.6929e-06
1.8746e+05 3.6473e-06
1.8854e+05 3.6025e-06
1.8962e+05 3.5585e-06
1.9070e+05 3.5154e-06
1.9178e+05 3.4731e-06
1.9287e+05 3.4316e-06
1.9396e+05 3.3908e-06
1.9504e+05 3.3508e-06
1.9613e+05 3.3116e-06
1.9722e+05 3.2730e-06
1.9831e+05 3.2352e-06
1.9941e+05 3.1980e-06
2.0050e+05 3.1615e-06
2.0160e+05 3.1257e-06
2.0269e+05 3.0905e-06
2.0379e+05 3.0559e-06
2.0489e+05 3.0219e-06
2.0599e+05 2.9885e-06
2.0709e+05 2.9556e-06
2.0820e+05 2.9234e-06
2.0930e+05 2.8917e-06
2.1041e+05 2.8605e-06
2.1152e+05 2.8298e-06
2.1262e+05 2.7997e-06
2.1374e+05 2.7701e-06
2.1485e+05 2.7409e-06
2.1596e+05 2.7122e-06
2.1707e+05 2.6840e-06
2.1819e+05 2.6563e-06
2.1931e+05 2.6290e-06
2.2042e+05 2.6022e-06
2.2154e+05 2.5757e-06
2.2266e+05 2.5497e-06
2.2379e+05 2.5241e-06
2.2491e+05 2.4989e-06
2.2603e+05 2.4741e-06
2.2716e+05 2.4497e-06
2.2829e+05 2.4257e-06
2.2942e+05 2.4020e-06
2.3055e+05 2.3787e-06
2.3168e+05 2.3558e-06
2.3281e+05 2.3332e-06
2.3395e+05 2.3109e-06
2.3508e+05 2.2890e-06
2.3622e+05 2.2674e-06
2.3736e+05 2.2461e-06
2.3850e+05 2.2251e-06
2.3964e+05 2.2044e-06
2.4078e+05 2.1841e-06
2.4192e+05 2.1640e-06
2.4307e+05 2.1442e-06
2.4421e+05 2.1247e-06
2.4536e+05 2.1055e-06
2.4651e+05 2.0866e-06
2.4766e+05 2.0679e-06
2.4881e+05 2.0495e-06
2.4997e+05 2.0313e-06
2.5112e+05 2.0134e-06
2.5228e+05 1.9958e-06
2.5344e+05 1.9784e-06
2.5460e+05 1.9612e-06
2.5576e+05 1.9443e-06
2.5692e+05 1.9276e-06
2.5808e+05 1.9111e-06
2.5925e+05 1.8948e-06
2.6041e+05 1.8788e-06
2.6158e+05 1.8629e-06
2.6275e+05 1.8473e-06
2.6392e+05 1.8319e-06
2.6509e+05 1.8167e-06
2.6626e+05 1.8017e-06
2.6744e+05 1.7869e-06
2.6861e+05 1.7722e-06
2.6979e+05 1.7578e-06
2.7097e+05 1.7436e-06
2.7215e+05 1.7295e-06
2.7333e+05 1.7156e-06
2.7451e+05 1.7019e-06
2.7570e+05 1.6883e-06
2.7688e+05 1.6750e-06
2.7807e+05 1.6618e-06
2.7926e+05 1.6487e-06
2.8045e+05 1.6358e-06
2.8164e+05 1.6231e-06
2.8283e+05 1.6106e-06
2.8403e+05 1.5981e-06
2.8522e+05 1.5859e-06
2.8642e+05 1.5738e-06
2.8762e+05 1.5618e-06
2.8882e+05 1.5500e-06
2.9002e+05 1.5383e-06
2.9122e+05 1.5268e-06
2.9243e+05 1.5154e-06
2.9363e+05 1.5041e-06
2.9484e+05 1.4929e-06
2.9605e+05 1.4819e-06
2.9726e+05 1.4710e-06
2.9847e+05 1.4603e-06
2.9968e+05 1.4497e-06
3.0090e+05 1.4391e-06
3.0211e+05 1.4288e-06
3.0333e+05 1.4185e-06
3.0455e+05 1.4083e-06
3.0577e+05 1.3983e-06
3.0699e+05 1.3884e-06
3.0822e+05 1.3785e-06
3.0944e+05 1.3688e-06
3.1067e+05 1.3592e-06
3.1189e+05 1.3497e-06
3.1312e+05 1.3404e-06
3.1435e+05 1.3311e-06
3.1559e+05 1.3219e-06
3.1682e+05 1.3128e-06
3.1805e+05 1.3038e-06
3.1929e+05 1.2949e-06
3.2053e+05 1.2861e-06
3.2177e+05 1.2774e-06
3.2301e+05 1.2688e-06
3.2425e+05 1.2603e-06
3.2549e+05 1.2519e-06
3.2674e+05 1.2436e-06
